sequence,level,property_type,identifier,module,class_term,property_term,association_role,representation_term,associated_module,associated_class,multiplicity,definition,label_local,definition_local,id
676,2,Attribute,,btx,Referenced Document,Document Identifier Type,,Token,,,0..1,"Document identifier type. Enumerated as: C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",発生元文書対象CVE種別,発生元文書の対象となるCVEの種別。_x000D_ [設定値のリスト]_x000D_ (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者),BT11-04
677,2,Attribute,,btx,Referenced Document,Document Identifier Code,,String,,,0..1,Document identifier code,発生元文書対象CVEコード,発生元文書の対象となるCVEのコード。,BT11-05
678,2,Attribute,,btx,Referenced Document,Received Date,,Date Time,,,0..1,Date/time document was noted as received (if necessary). Represents actual date received. Posting dates are maintained separately.,元文書受領日付,（必要であれば）文書の受領が記録された日付/時刻。実際に受領された日付をあらわす。転記日付は別に管理される。,BT11-06
679,2,Attribute,,btx,Referenced Document,Document Location,,String,,,0..1,"Document location as URI, file name or other reference. Alternatively, text of document can be placed here.",元文書格納場所,文書の格納場所である、URI、ファイル名またはその他の参照情報。代わりに、文書のテキストも記述可能。,BT11-07
680,2,Attribute,,btx,Referenced Document,Reference Purpose,,Token,,,0..1,Semantic purpose or role of the referenced document in this business transaction; distinct from the referenced document's own document type.,参照目的,この業務取引における参照文書の意味上の目的又は役割。参照文書自体の文書種別とは異なる。,BT11-08
681,2,Composition,,btx,Referenced Document,,,,btx,Document Attachment,0..*,Attachment or external document payload associated with this referenced document.,【文書添付】,この参照文書に関連付けられた添付又は外部文書の内容。,BT11-09
682,1,Class,,btx,Transaction_ Header,,,,,,0..*,Parent class grouping transaction document header records.,【取引ヘッダ】,取引文書のヘッダ・レコードをまとめて保持する親クラス。,BT12
683,2,Attribute,,btx,Transaction_ Header,Date Posted,,Date Time,,,0..1,Date this entry was posted (validated) to the general ledger. May not represent the date of accounting significance which is represented by 'postingDate'.,転記済日付,この仕訳が総勘定元帳に転記された(検証された)日付。 postingDateで示されるような会計上意味のある日付を表さないかもしれない。,BT12-01
684,2,Attribute,,btx,Transaction_ Header,Creator,,String,,,0..1,Initials/name of operator originally entering.,仕訳作成者,最初に入力したオペレータのイニシャル/名前。,BT12-02
685,2,Attribute,,btx,Transaction_ Header,Last Modifier,,String,,,0..1,Identification for the last person modifying this entry before posting.,仕訳最終更新者,転記前に最後にこの仕訳を修正した者の識別子。,BT12-03
686,2,Attribute,,btx,Transaction_ Header,Responsible Person,,String,,,0..1,Identifier of person who created or originated or is otherwise responsible for the entry.,責任者,仕訳を作成したか、仕訳に責任を持つ者の識別子。,BT12-04
687,2,Attribute,,btx,Transaction_ Header,Posting Code,,String,,,0..1,"Code for posting to period, e.g., period 1-13, based on codes in an accounting period file. We do not recommend that software vendors export here, but suggest providing period end numbers for the buckets. Possibilities W1 through W53, M1 through M13, Q1-Q4. Developers and others creating output files are encouraged to supply an actual end date.",転記コード,転記の期間を表すコード。例えば、会計期間ファイルのコードにもとづく期間１～１３。ソフトウエアベンダーが、この値をエクスポートすることは推奨しない。期間の最終番号を提供することを勧める。可能な値としては、W1からW53、M1からM13、Q1からQ4など。開発者や出力ファイルの作成者には、実際の終了日付を提供することを勧める。,BT12-05
688,2,Attribute,,btx,Transaction_ Header,Number of Entries,,Integer,,,0..1,The total number of entries.,仕訳総数,仕訳の総数。,BT12-06
689,2,Attribute,,btx,Transaction_ Header,Comment,,String,,,0..1,Comment of the entry,仕訳摘要,仕訳の摘要,BT12-07
690,2,Attribute,,btx,Transaction_ Header,Header_ Entry Date,,Date Time,,,0..1,"Represents the actual date/time of entry into computer (automated from system date, often misrepresented by changing system clock). Posting dates are maintained separately.",入力日付,コンピュータへ入力した実際の日付/時刻(システム日付から自動的に与えられ、システム時計の変更により、しばしば誤った値になる)を示す。 転記日付とは別に管理される。,BT12-08
691,2,Attribute,,btx,Transaction_ Header,Header_ Type Identifier,,Token,,,0..1,"One of the following enumerated list: adjusting, budget, comparative, external-accountant, standard, passed-adjusting, eliminating, proposed, recurring, reclassifying, simulated, tax, other",種別識別子,"以下の値のうちのひとつ。_x000D_
整理、予算、比較、外部会計事務所、通常、無視、消去、提案、反復、組替、シミュレーション、税、その他_x000D_
[設定値のリスト]_x000D_
(adjusting：整理)、(budget：予算)、(comparative：比較)、(external-accountant：外部会計事務所)、(standard：通常)、(passed-adjusting：無視)、(eliminating：消去)、(proposed：提案)、(recurring：反復)、(reclassifying：組替)、(simulated：シミュレーション)、(tax：税)、(other：その他)",BT12-09
692,2,Attribute,,btx,Transaction_ Header,Header Entry Number Counter,,Decimal,,,0..1,Unique reference for the entry - a numeric counter,文書番号カウンタ,文書の一意なリファレンス　　カウンタ,BT12-10
693,2,Attribute,,btx,Transaction_ Header,Header Document Type,,Token,,,0..1,"An enumerated field describing the original source document, with invoice, voucher, check and other enumerated entries",元文書種別,顧客への請求書、ベンダからの請求書、小切手、その他の列挙値による、元文書の説明。\n[設定値のリスト]\n(check：小切手)、(debit-memo：借方メモ)、(credit-memo：貸方メモ)、(finance-charge：財務費用)、(invoice：顧客への請求書)、(order-customer：顧客オーダ)、(order-vendor：仕入先オーダ)、(payment-other：その他支払い)、(reminder：督促状)、(tegata：手形)、(voucher：ベンダからの請求書)、(shipment：出荷票)、(receipt：受領票)、(manual-adjustment：手修正)、(other：その他),BT12-11
694,2,Attribute,,btx,Transaction_ Header,Header Document Type Description,,String,,,0..1,Free format description of the document type,元文書種別説明,元文書の種別の説明。,BT12-12
695,2,Attribute,,btx,Transaction_ Header,Header Invoice Type,,Token,,,0..1,"Invoice Type  (self-billed, ePoS enumerated values)",請求書種別,請求書の種別。(self-billed、ePoS)\n[設定値のリスト]\n(ePos：POSシステムからの発行)、(self-billed：手動発行),BT12-13
696,2,Attribute,,btx,Transaction_ Header,Header Document Number,,String,,,0..1,"Invoice, check, voucher, or other source document identifier",元文書番号,請求書、小切手、証憑、その他の元文書の識別子。,BT12-14
697,2,Reference Association,,btx,Transaction_ Header,,Applied Invoice,,btx,Referenced Document,0..1,"Document number of primary invoice number, used to offset payments, debits and credits; for an invoice, usually the same as the documentNumber. When calculating open balance on an invoice, or open amount on payments in advance or not fully applied, this permits calculation of the open item.",適用先番号,支払、借方、貸方の相殺に使用される、一次請求書の文書番号。請求書では通常documentNumberと等しい。未決済の請求書残高や、未決済の支払金額の計算時に、利用できる。,BT12-15
698,2,Aggregation,,btx,Transaction_ Header,,,,btx,Referenced Document,0..*,Reference for the document; number assigned to track the document,元文書参照情報,上の文書のための内部参照情報。文書を追跡するために内部的に割り当てた番号。,BT12-16
699,2,Attribute,,btx,Transaction_ Header,Header Payment Method,,String,,,0..1,Method used or to be used to make the payment,支払方法,支払いのために使用された、または使用される方法。,BT12-17
700,2,Attribute,,btx,Transaction_ Header,Header Posting Status,,Token,,,0..1,"deferred: although entered, it cannot be posted until a later time\nposted: already posted\nproposed: a proposed item that must be approved\nsimulated: a simulated item, for what-if\ntax: a tax-specific entry\nunposted:entered but not yet posted or validated\ncancelled:entered and later cancelled\nother:other status - should be described in postingStatusDescription",転記状態,・据置：入力されたが、まだ転記できない。\n・転記済：転記済み。\n・提案済：検証が必要な項目。\n・シミュレーション：仮定のためにシミュレートされた項目。\n・税：税項目。\n・未転記：入力されたが、まだ検証も転記もされていない。\n・取消済：入力されたが、取り消された。\n・その他：その他の状態。postingStatusDescriptionで説明されるべき。\n[設定値のリスト]\n(deferred：据置)、(posted：転記済)、(proposed：提案済)、(simulated：シミュレーション)、(tax：税)、(unposted：未転記)、(cancelled：取消済)、(other：その他),BT12-18
701,2,Attribute,,btx,Transaction_ Header,Header Posting Status Description,,String,,,0..1,Free format description of the posting status,転記状態説明,転記状態の説明。,BT12-19
702,2,Attribute,,btx,Transaction_ Header,Header Acknowledgement Date,,Date Time,,,0..1,Date of acknowledgement of goods/services shipped/received.,承認日付,出荷/受領済みの物品/サービスを承認した日付。,BT12-20
703,2,Attribute,,btx,Transaction_ Header,Header Confirmation Date,,Date Time,,,0..1,Date of confirmation of shipment/receipt.,確認日付,出荷/受領を確認した日付。,BT12-21
704,2,Attribute,,btx,Transaction_ Header,Header Ship From,,String,,,0..1,References Organization Address Location Identifier where used. Otherwise free form.,出荷元,使用されていれば住所識別子の参照情報。または自由記述。,BT12-22
705,2,Attribute,,btx,Transaction_ Header,Header Date Shipped/Received,,Date Time,,,0..1,Date goods/services are shipped/received.,出荷/受領日付,物品/サービスを出荷/受領した日付。,BT12-23
706,2,Attribute,,btx,Transaction_ Header,Header Maturity Date or Date Due,,Date Time,,,0..1,Due date or other maturity date.,支払期日,支払期日やその他の期日。,BT12-24
707,2,Attribute,,btx,Transaction_ Header,Header Payment Terms,,String,,,0..1,Discount/payment terms.,支払条件,割引/支払い条件。,BT12-25
708,2,Composition,,btx,Transaction_ Header,,,,btx,Header_ Identifier Reference,0..*,"Identification for customer, vendor, or employee.",【文書CVE情報】,顧客、仕入先、従業員のための識別子。,BT12-26
709,2,Composition,,btx,Transaction_ Header,,,,btx,Header_ Tax,0..*,Class for holding tax related information,【税情報】,税関連の情報のタプル。,BT12-27
710,2,Composition,,btx,Transaction_ Header,,,,btx,Header_ Amount Structure,0..*,"Structure representing monetary amounts and currency information applicable to the document as a whole, such as document-level totals or aggregated tax amounts.",【ヘッダー金額構造】,文書全体に適用される金額や通貨情報（文書レベルの合計額や集計された税額など）を表現する構造。,BT12-28
711,2,Composition,,btx,Transaction_ Header,,,,btx,Transaction_ Detail,0..*,Parent for document line,【文書明細】,文書明細の親タグ。,BT12-29
712,2,Attribute,,btx,Transaction_ Header,Business Process Type,,Identifier,,,0..1,"Type or context of the business process to which the business transaction belongs; distinct from document type, invoice subtype, and transaction entry type.",ビジネスプロセス種別,この業務取引が属するビジネスプロセス又はプロセス文脈の種別。文書種別、請求書の下位種別及び取引入力種別とは異なる。,BT12-30
713,2,Composition,,btx,Transaction_ Header,,,,btx,Header_ Rich Text Comment,0..*,Repeatable header note or comment occurrence.,【ヘッダーノート】,反復可能なヘッダーノート又はコメントの出現。,BT12-31
714,2,Composition,,btx,Transaction_ Header,,Header,,btx,Adjustment,0..*,Document-level allowance or charge adjustment.,【ヘッダー調整】,文書レベルの値引又は追加請求の調整。,BT12-32
715,1,Class,,btx,Transaction_ Detail,,,,,,0..*,Parent for entry detail,【仕訳明細】,仕訳明細の親タグ。,BT13
716,2,Attribute,PK,btx,Transaction_ Detail,Line Number,,String,,,0..1,Identifier for a particular entry detail,明細行番号,仕訳明細の識別子。,BT13-01
717,2,Attribute,,btx,Transaction_ Detail,Line Number Counter,,Decimal,,,0..1,Unique reference for the line - a numeric counter,明細行番号カウンタ,明細行の一意なリファレンス　　カウンタ,BT13-02
718,2,Attribute,,btx,Transaction_ Detail,Posting Date,,Date Time,,,0..1,"At the detail level, this represents the accounting significance date. No matter what date the document is received, entered, or posted, this signifies the accounting date of the entry. If you want to see the financial results for March 5, 2002 and this entry is given that date, the entry will be part of the results for March 5, 2002. This is different from the postedDate found at the entryHeader level. If you want the accounting significance to be a particular date, it goes here. A single entry could represent multiple dates, but would only be posted on one date.",転記日付,明細レベルで、会計上意義のある日付を示す。ドキュメントの受領、入力、転記の日付に関わらず、仕訳が会計処理された日付を示す。2002.03.05の財務結果を見たいときに、ここにその日付がある場合は、この明細は2002.03.05の結果の一部である。これは、entryHeaderにあるpostedDateとは異なる。特定の日付を会計上意義のある日付にしたいなら、ここに記述する。ひとつの仕訳が複数の日付をあらわせるが、ひとつの日でのみ転記される。,BT13-03
719,2,Attribute,,btx,Transaction_ Detail,Memo Line,,Boolean,,,0..1,A boolean like entry that indicates whether an entryDetail line has been provided solely to provide additional details and that tools should not consider the amount in postings.,メモ行フラグ,明細行が単に追加の詳細を与えるものであり、転記金額に含めるべきでないことを示すブール値。,BT13-04
720,2,Attribute,,btx,Transaction_ Detail,Document Type,,Token,,,0..1,"An enumerated field describing the original source document, with check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other.",元文書種別,小切手、借方メモ、貸方メモ、財務費用、顧客への請求書、顧客オーダー、仕入先オーダー、その他支払い、督促状、手形、ベンダからの請求書、出荷票、受領票、手修正、その他の列挙値による、元文書の説明。[設定値のリスト]_x000D_ (check：小切手)、(debit-memo：借方メモ)、(credit-memo：貸方メモ)、(finance-charge：財務費用)、(invoice：顧客への請求書)、(order-customer：顧客オーダ)、(order-vendor：仕入先オーダ)、(payment-other：その他支払い)、(reminder：督促状)、(tegata：手形)、(voucher：ベンダからの請求書)、(shipment：出荷票)、(receipt：受領票)、(manual-adjustment：手修正)、(other：その他),BT13-05
721,2,Attribute,,btx,Transaction_ Detail,Document Type Description,,String,,,0..1,Free format description of the document type,元文書種別説明,元文書の種別の説明。,BT13-06
722,2,Reference Association,,btx,Transaction_ Detail,,,,cor,Document,0..1,"Invoice, check, voucher, or other source document identifier",元文書番号,請求書、小切手、証憑、その他の元文書の識別子。,BT13-07
723,2,Attribute,,btx,Transaction_ Detail,Document Date,,Date Time,,,0..1,"Date (and less likely in the paper world but possible in the e-world, time) on actual document (invoice, voucher, check date). Other dates control posting information.",元文書日付,実際の文書（請求書、証憑、小切手）の日付（および、紙の世界ではありそうにないが、電子的には時刻）。 転記の情報は別の日付で管理する。,BT13-08
724,2,Attribute,,btx,Transaction_ Detail,Received Date,,Date Time,,,0..1,Date/time document was noted as received (if necessary). Represents actual date received. Posting dates are maintained separately.,元文書受領日付,（必要であれば）文書の受領が記録された日付/時刻。実際に受領された日付をあらわす。転記日付は別に管理される。,BT13-09
725,2,Attribute,,btx,Transaction_ Detail,Document Location,,String,,,0..1,"Document location as URI, file name or other reference. Alternatively, text of document can be placed here.",元文書格納場所,文書の格納場所である、URI、ファイル名またはその他の参照情報。代わりに、文書のテキストも記述可能。,BT13-10
726,2,Attribute,,btx,Transaction_ Detail,Posting Status,,Token,,,0..1,"deferred: although entered, it cannot be posted until a later time
posted: already posted
proposed: a proposed item that must be approved
simulated: a simulated item, for what-if
tax: a tax-specific entry
unposted:entered but not yet posted or validated
cancelled:entered and later cancelled
other:other status - should be described in postingStatusDescription",転記状態,"・据置：入力されたが、まだ転記できない。_x000D_
・転記済：転記済み。_x000D_
・提案済：検証が必要な項目。_x000D_
・シミュレーション：仮定のためにシミュレートされた項目。_x000D_
・税：税項目。_x000D_
・未転記：入力されたが、まだ検証も転記もされていない。_x000D_
・取消済：入力されたが、取り消された。_x000D_
・その他：その他の状態。postingStatusDescriptionで説明されるべき。_x000D_
[設定値のリスト]_x000D_
(deferred：据置)、(posted：転記済)、(proposed：提案済)、(simulated：シミュレーション)、(tax：税)、(unposted：未転記)、(cancelled：取消済)、(other：その他)",BT13-11
727,2,Attribute,,btx,Transaction_ Detail,Posting Status Description,,String,,,0..1,Free format description of the posting status,転記状態説明,転記状態の説明。,BT13-12
728,2,Attribute,,btx,Transaction_ Detail,Description,,String,,,0..1,Description of this line of detail only,説明,この明細行のみに対する説明。,BT13-13
729,2,Attribute,,btx,Transaction_ Detail,Acknowledgement Date,,Date Time,,,0..1,Date of acknowledgement of goods/services shipped/received.,承認日付,出荷/受領済みの物品/サービスを承認した日付。,BT13-14
730,2,Attribute,,btx,Transaction_ Detail,Confirmation Date,,Date Time,,,0..1,Date of confirmation of shipment/receipt.,確認日付,出荷/受領を確認した日付。,BT13-15
731,2,Attribute,,btx,Transaction_ Detail,Measurable Class Description,,String,,,0..1,Free format description associated with gl-ehm:measurableClassID to provide specialization or clarification for the enumerated value of other.,測定可能分類の説明,「その他」の列挙値を補足・特定するための自由記述形式の説明。,BT13-16
732,2,Attribute,,btx,Transaction_ Detail,Geospatial Coordinate,,String,,,0..1,"Enter a relevant location for this item. Format can be either:
- Degrees, minutes, and seconds (DMS): 41°24'12.2""N 2°10'26.5""E
- Degrees and decimal minutes (DMM): 41 24.2028, 2 10.4418
- Decimal degrees (DD): 41.40338, 2.17403",地理座標,"本項目の関連位置を入力。形式は以下のいずれか：
・度分秒 (DMS): 41°24'12.2""N 2°10'26.5""E
・度と小数分 (DMM): 41 24.2028, 2 10.4418
・10進度 (DD): 41.40338, 2.17403",BT13-17
733,2,Aggregation,,btx,Transaction_ Detail,,,,taf,Originating Document,0..*,"A tool to capture the flow of related documents in the business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive class of related documents.",【発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。,BT13-18
734,2,Composition,,btx,Transaction_ Detail,,,,muc,Detail_ Multicurrency,0..*,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のセクション。－現在および原取引時の、換算レートおよび金額の記録に使用される。_x000D_
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。",BT13-19
735,2,Composition,,btx,Transaction_ Detail,,,,btx,Detail_ Identifier Reference,0..*,"Identification for customer, vendor, or employee.",【CVE情報】,顧客、仕入先、従業員のための識別子。,BT13-20
736,2,Composition,,btx,Transaction_ Detail,,,,cor,Detail_ XBRL,0..*,This will roll up to XBRL reporting information - this is a parent - repeatable so that the same item can be reported through many taxonomies. Care should be taken to consider what happens if people post to the same account but different XBRL elements.,【XBRL情報】,XBRLレポート情報へのロールアップ情報。親タグであり、同じ項目が複数のタクソノミを通じて報告されうるように繰り返し可能。同一の勘定科目を異なるXBRL要素に転記した場合にどうなるか、注意深く考慮すべきである。,BT13-21
737,2,Composition,,btx,Transaction_ Detail,,,,bus,Detail_ Measurable,0..*,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",【計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。,BT13-22
738,2,Composition,,btx,Transaction_ Detail,,,,bus,Detail_ Job,0..*,"Class for holding job related information, separate from jobs represented in account identifier. Would probably only have one jobinfo class for each entry line, but there may be a need to express more than one.",【ジョブ情報】,科目識別子で表現されるジョブとは別の、ジョブに関係する情報のタプル。個々の明細行に対してひとつだけ存在すると思われるが、複数必要かもしれない。,BT13-23
739,2,Composition,,btx,Transaction_ Detail,,,,bus,Detail_ Depreciation Mortgage,0..*,"Parent for information related to depreciation, mortgages, etc.",【減価償却/抵当債務情報】,減価償却、抵当債務等に関連する情報の親タグ。,BT13-24
740,2,Composition,,btx,Transaction_ Detail,,,,ehm,Detail_ Serial or Lot,0..*,"Class for holding information about serial numbers or lots (batches). As a class, this permits multiple serial numbers or multiple lot number batches within a single gl-cor:measurable class.",【シリアル番号・ロット情報】,シリアル番号やロット（バッチ）に関する情報を保持するタプル。単一の構造内に複数のシリアル番号やロット情報を保持可能。,BT13-25
741,2,Composition,,btx,Transaction_ Detail,,,,btx,Detail_ Tax,0..*,Class for holding tax related information,【税情報】,税関連の情報のタプル。,BT13-26
742,2,Composition,,btx,Transaction_ Detail,,,,lnk,Detail_ Rich Text Comment,0..*,"Accepts text in rich text format, including XHTML. It can be used for different purposes, such as to create footnotes in XBRL instances or to create a comment for a document or an entry.",【リッチテキストコメント】,XHTMLを含む、リッチテキスト形式のテキストを受け入れる。XBRLインスタンスのフットノートの生成や、文書や伝票のコメントの生成などの、さまざまな目的で利用可能。,BT13-27
743,2,Attribute,,btx,Transaction_ Detail,Detail_ Description,,String,,,0..1,Description of this line of detail only,説明,この明細行のみに対する説明。,BT13-28
744,2,Attribute,,btx,Transaction_ Detail,Detail_ Measurable Class Identifier,,Token,,,0..1,"An enumerated code to identify the inventory, fixed asset or other measurable class. Enumerated as: raw material, work-in-process, finished goods, assemblies, supplies, land, building, machinery, furniture, vehicles, other.",測定可能分類コード,在庫、固定資産、その他の測定可能な分類を識別するための列挙コード。列挙例：原材料、仕掛品、製品、組立品、備品、土地、建物、機械、家具、車両、その他。,BT13-29
745,2,Composition,,btx,Transaction_ Detail,,,,btx,Detail_ Amount Structure,0..*,"Structure representing monetary amounts and currency information applicable to an individual line, such as line-level net amounts, tax calculation bases, allowances, or charges.",【行金額構造】,個々の明細行に適用される金額や通貨情報（行レベルの正味金額、税計算基礎額、値引または追加請求など）を表現する構造。,BT13-30
746,2,Composition,,btx,Transaction_ Detail,,Detail,,btx,Adjustment,0..*,Line-level allowance or charge adjustment.,【明細調整】,明細レベルの値引又は追加請求の調整。,BT13-31
747,1,Class,,btx,Tax,,,,,,0..*,Business-transactions Tax specialization that adds transaction-document tax regime and exemption semantics without changing the shared core Tax definition.,【業務取引税情報】,共通の税情報を拡張し、業務取引文書の税制種別及び免税理由を保持する税情報。,BT14
748,2,Attribute,,btx,Tax,Tax Authority,,String,,,0..1,Name of the relevant tax authority,課税庁,関係する課税庁の名前。,BT14-01
749,2,Attribute,,btx,Tax,Tax Table Code,,String,,,0..1,Tax table code used by the relevant tax authority,税率表コード,関係する課税庁で使用される税率表のコード。,BT14-02
750,2,Attribute,,btx,Tax,Tax Description,,String,,,0..1,Description of tax authority,課税庁説明,課税庁の説明。,BT14-03
751,2,Attribute,,btx,Tax,Amount of Taxes,,Monetary,,,0..1,Amount of taxes,税額,税額。,BT14-04
752,2,Attribute,,btx,Tax,Basis for Taxation,,Monetary,,,0..1,Basis for taxation,課税基準,課税基準。,BT14-05
753,2,Attribute,,btx,Tax,Tax Percentage Rate,,Pure,,,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,税率,"VAT(物品税)またはその他の税のパーセント比率。_x000D_
0から1.0の間の値。たとえば50%は0.5とあらわす。",BT14-06
754,2,Attribute,,btx,Tax,Tax Category,,String,,,0..1,A class or category of taxes,税区分,税のクラス又はカテゴリ。,BT14-07
755,2,Attribute,,btx,Tax,Tax Comment/Exemption Reason,,String,,,0..1,Additional text/code for exemption reasons or other comments.,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。,BT14-08
756,2,Attribute,,btx,Tax,Tax Amount in Foreign Currency,,Monetary,,,0..1,"If the tax is in a foreign currency, the amount of tax in that currency",外貨建税額,税が外貨建ての場合の、税額。,BT14-09
757,2,Attribute,,btx,Tax,Tax Foreign Currency,,QName,,,0..1,"If the tax is in a foreign currency, that currency",外貨建税額通貨,税が外貨建ての場合の、通貨。,BT14-10
758,2,Attribute,,btx,Tax,Tax Exchange Rate Date,,Date Time,,,0..1,"If the tax is in a foreign currency, the date or date and time of the exchange rate used",税額換算レート日付,税が外貨建ての場合の、換算レートの日付または日付/時刻。,BT14-11
759,2,Attribute,,btx,Tax,Tax Exchange Rate,,Pure,,,0..1,"If the tax is in a foreign currency, the exchange rate used expressed as national currency divided by foreign currency",税額換算レート,税が外貨建ての場合の、換算レート。自国通貨を外貨で割った値。,BT14-12
760,2,Attribute,,btx,Tax,Tax Exchange Rate Source,,String,,,0..1,"If the tax is in a foreign currency, source of exchange rate - for example, Reuters, Bloomberg",税額換算レート情報源,"税が外貨建ての場合の、換算レートの情報源。たとえば、Reuters, Bloomberg",BT14-13
761,2,Attribute,,btx,Tax,Tax Exchange Rate Type,,String,,,0..1,"If the tax is in a foreign currency, type of exchange rate - for example, spot rate, forward contract etc.",税額換算レート種別,税が外貨建ての場合の、換算レートの種別。たとえば、スポット・レート、先物など。,BT14-14
762,2,Attribute,,btx,Tax,Tax Exchange Rate Comment,,String,,,0..1,"If the tax is in a foreign currency, comment about exchange rate used",税額換算レートコメント,税が外貨建ての場合の、換算レートに関するコメント。,BT14-15
763,2,Attribute,,btx,Tax,Tax Amount in Triangulation Currency,,Monetary,,,0..1,"If the tax is in a foreign currency and triangulation is used, the amount of that tax in the triangulation currency",税額トライアンギュレーション通貨換算額,税が外貨建てで、トライアンギュレーション取引の場合の、トライアンギュレーション通貨での税額。,BT14-16
764,2,Attribute,,btx,Tax,Tax Triangulation Currency,,QName,,,0..1,"If the tax is in a foreign currency and triangulation is used, the triangulation currency",税額換算トライアンギュレーション通貨,税が外貨建てで、トライアンギュレーション取引の場合の、トライアンギュレーション通貨。,BT14-17
765,2,Attribute,,btx,Tax,Tax Triangulation Currency Exchange Rate,,Pure,,,0..1,"If the tax is in a foreign currency and triangulation is used, the exchange rate used expressed as national currency divided by triangulation currency",税額トライアンギュレーション通貨換算レート,税が外貨建てで、トライアンギュレーション取引の場合の、換算レート。自国通貨をトライアンギュレーション通貨で割った値。,BT14-18
766,2,Attribute,,btx,Tax,Tax Triangulation Currency Exchange Rate Source,,String,,,0..1,"If the tax is in a foreign currency and triangulation is used, source of exchange rate - for example, Reuters, Bloomberg",税額トライアンギュレーション通貨換算レート情報源,"税が外貨建てで、トライアンギュレーション取引の場合の、換算レートの情報源。たとえば、Reuters, Bloomberg",BT14-19
767,2,Attribute,,btx,Tax,Tax Triangulation Currency Exchange Rate Type,,String,,,0..1,"If the tax is in a foreign currency and triangulation is used, type of exchange rate - for example, spot rate, forward contract etc.",税額トライアンギュレーション通貨換算レート種別,税が外貨建てで、トライアンギュレーション取引の場合の、換算レートの種別。たとえば、スポット・レート、先物など,BT14-20
768,2,Attribute,,btx,Tax,Tax Foreign to Triangulation Currency Exchange Rate,,Pure,,,0..1,"If the tax is in a foreign currency and triangulation is used,  the exchange rate used expressed as foreign currency divided by triangulation currency",税額外貨トライアンギュレーション通貨換算レート,税が外貨建てで、トライアンギュレーション取引の場合の、換算レート。外貨をトライアンギュレーション通貨で割った値。,BT14-21
769,2,Attribute,,btx,Tax,Tax Foreign to Triangulation Currency Exchange Rate Source,,String,,,0..1,"If the tax is in a foreign currency and triangulation is used, source of exchange rate - for example, Reuters, Bloomberg",税額外貨トライアンギュレーション通貨換算レート情報源,"税が外貨建てで、トライアンギュレーション取引の場合の、換算レートの情報源。たとえば、Reuters, Bloomberg",BT14-22
770,2,Attribute,,btx,Tax,Tax Foreign to Triangulation Currency Exchange Rate Type,,String,,,0..1,"If the tax is in a foreign currency and triangulation is used, type of exchange rate - for example, spot rate, forward contract etc.",税額外貨トライアンギュレーション通貨換算レート種別,税が外貨建てで、トライアンギュレーション取引の場合の、換算レートの種別。たとえば、スポット・レート、先物など。,BT14-23
771,2,Attribute,,btx,Tax,Tax Type,,Token,,,0..1,"Type of tax regime or tax family applicable to this tax occurrence, distinct from its tax category.",税種別,この税出現に適用される税制又は税体系の種別。税区分とは異なる。,BT14-24
772,2,Attribute,,btx,Tax,Tax Exemption Reason Code,,Token,,,0..1,Code identifying the reason why the tax occurrence is exempt from tax.,免税理由コード,この税出現が免税となる理由を識別するコード。,BT14-25
773,2,Attribute,,btx,Tax,Tax Exemption Reason Text,,String,,,0..1,Human-readable text describing the reason why the tax occurrence is exempt from tax.,免税理由テキスト,この税出現が免税となる理由を説明する可読テキスト。,BT14-26
