sequence,module,level,type,identifier,name,datatype,multiplicity,association_role,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
396,btx,4,A,,Identifier Organization Type Description,String,0..1,,Free format description of the identifier organization type,CVE組織種別説明,CVE識別子の組織種別の説明。,BT06-05,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierOrganizationTypeDescription,btx,Header_ Identifier Reference,identifierOrganizationTypeDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-btx:identifierOrganizationTypeDescription
397,btx,4,A,,Identifier Description,String,0..1,,Textual description of identifierReference.,CVE説明,identifierReferenceの説明。,BT06-06,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierDescription,btx,Header_ Identifier Reference,identifierDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-btx:identifierDescription
398,btx,4,A,,Identifier Type,Token,0..1,,"Entity type (enumerated): C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",CVE種別,実体の種別。_x000D_ [設定値のリスト]_x000D_ (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者),BT06-07,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierType,btx,Header_ Identifier Reference,identifierType,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-btx:identifierType
399,btx,4,A,,Identifier Category,String,0..1,,"For use as Customer, Vendor or Employee Class (such as Residential/Commercial/Institutional/Government or Retail/Wholesale or other classifications used by business).",CVEカテゴリ,顧客、仕入先、従業員の分類に使用する。　（住居/商業/機関/政府や、小売/卸や、ビジネスで使用されるその他の分類）。,BT06-08,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierCategory,btx,Header_ Identifier Reference,identifierCategory,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-btx:identifierCategory
400,cor,4,C,,External Authority,,0..*,,Class containing references to an external authority associated with identifier,【外部機関】,識別子と関係付けられる外部機関への参照情報を含む構造体。,BT06-09,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_ExternalAuthority,cor,External Authority,externalAuthority,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:externalAuthority
401,cor,5,A,PK,External Authority Code,String,0..1,,"External Authority (e,g, Tax Authority) ID Number associated with identifierReference",外部機関付与識別番号,identifierReferenceと関係付けられる、外部機関（たとえば、税務署）によるID番号。,CO12-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_ExternalAuthority.cor_ExternalAuthorityCode,cor,External Authority,externalAuthorityCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:externalAuthority/gl-cor:externalAuthorityCode
402,cor,5,A,,External Authority Name,String,0..1,,Name of External Authority (e.g. Tax Authority),外部機関名,外部機関の名前（たとえば、税務署）,CO12-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_ExternalAuthority.cor_ExternalAuthorityName,cor,External Authority,externalAuthorityName,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:externalAuthority/gl-cor:externalAuthorityName
403,cor,5,A,,External Authority Verification Date,Date Time,0..1,,Date on which the External Authority last performed a verification,外部機関認証日付,外部機関が最後に認証した日付。,CO12-03,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_ExternalAuthority.cor_ExternalAuthorityVerificationDate,cor,External Authority,externalAuthorityVerificationDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:externalAuthority/gl-cor:externalAuthorityVerificationDate
404,cor,4,C,,Identifier_ Phone,,0..*,,Phone number related to Identifier.,【電話番号】,CVE識別子の電話番号。,BT06-10,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierPhone,cor,Identifier_ Phone,identifierPhone,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierPhone
405,cor,5,A,PK,Phone Number,String,0..1,,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,CO01-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierPhone.cor_PhoneNumber,cor,Identifier_ Phone,phoneNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierPhone/gl-cor:phoneNumber
406,cor,5,A,,Phone Number Description,String,0..1,,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",CO01-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierPhone.cor_PhoneNumberDescription,cor,Identifier_ Phone,phoneNumberDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierPhone/gl-cor:phoneNumberDescription
407,cor,4,C,,Identifier_ Fax,,0..*,,Fax number class related to identifier.,【FAX番号】,CVE識別子のFAX番号の構造体。,BT06-11,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierFax,cor,Identifier_ Fax,identifierFax,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierFax
408,cor,5,A,PK,Fax Number,String,0..1,,Fax Number,FAX番号,FAX番号。,CO03-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierFax.cor_FaxNumber,cor,Identifier_ Fax,faxNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierFax/gl-cor:faxNumber
409,cor,5,A,,Fax Number Usage,String,0..1,,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),CO03-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierFax.cor_FaxNumberUsage,cor,Identifier_ Fax,faxNumberUsage,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierFax/gl-cor:faxNumberUsage
410,cor,4,C,,Identifier_ Email,,0..*,,Email address for Identifier.,【CVEEメールアドレス】,CVE識別子のEメールアドレス。,BT06-12,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierEmail,cor,Identifier_ Email,identifierEmail,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierEmail
411,cor,5,A,PK,Email Address,String,0..1,,Email Address,Eメールアドレス,Eメールアドレス。,CO05-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierEmail.cor_EmailAddress,cor,Identifier_ Email,emailAddress,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierEmail/gl-cor:emailAddress
412,cor,5,A,,Email Address Usage,String,0..1,,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),CO05-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierEmail.cor_EmailAddressUsage,cor,Identifier_ Email,emailAddressUsage,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierEmail/gl-cor:emailAddressUsage
413,cor,4,C,,Identifier_ Address,,0..*,,"Address (block) of customer, vendor, employee for integration purposes, VAT.",【CVE住所】,統合目的やVATのための、顧客、仕入先、従業員の住所(ブロック)。,BT06-13,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierAddress,cor,Identifier_ Address,identifierAddress,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierAddress
414,cor,5,A,,Description,String,0..1,,Address Description,住所説明,住所の説明。,CO08-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierAddress.cor_Description,cor,Identifier_ Address,description,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierAddress/gl-cor:description
415,cor,5,A,,Purpose,String,0..1,,Address Purpose,住所目的,住所の目的。,CO08-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierAddress.cor_Purpose,cor,Identifier_ Address,purpose,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierAddress/gl-cor:purpose
416,cor,5,A,,Location ID,String,0..1,,A code used to identify the location and to associate it with contacts and transactions,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,CO08-03,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierAddress.cor_LocationID,cor,Identifier_ Address,locationId,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierAddress/gl-cor:locationId
417,cor,5,A,,Building Number,String,0..1,,Building Number,住所建物番号,建物番号。,CO08-04,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierAddress.cor_BuildingNumber,cor,Identifier_ Address,buildingNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierAddress/gl-cor:buildingNumber
418,cor,5,A,,Street,String,0..1,,Street address,住所通り,住所の通り。,CO08-05,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierAddress.cor_Street,cor,Identifier_ Address,street,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierAddress/gl-cor:street
419,cor,5,A,,Address Detail,String,0..1,,Address Detail,住所詳細,住所詳細。,CO08-06,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierAddress.cor_AddressDetail,cor,Identifier_ Address,addressDetail,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierAddress/gl-cor:addressDetail
420,cor,5,A,,City,String,0..1,,City,住所都市,住所の都市。,CO08-07,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierAddress.cor_City,cor,Identifier_ Address,city,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierAddress/gl-cor:city
421,cor,5,A,,State or Province,String,0..1,,"State, province or region",住所州,住所の州や地方。,CO08-08,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierAddress.cor_StateorProvince,cor,Identifier_ Address,stateOrProvince,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierAddress/gl-cor:stateOrProvince
422,cor,5,A,,Country,String,0..1,,Country,住所国,住所の国。,CO08-09,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierAddress.cor_Country,cor,Identifier_ Address,country,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierAddress/gl-cor:country
423,cor,5,A,,Zip or Postal Code,String,0..1,,Zip or other postal code,住所郵便番号,住所の郵便番号。,CO08-10,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierAddress.cor_ZiporPostalCode,cor,Identifier_ Address,zipOrPostalCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierAddress/gl-cor:zipOrPostalCode
424,cor,4,C,,Identifier_ Contact,,0..*,,Identifier Contact Information Class,【CVE担当者情報】,CVE識別子の担当者情報の構造体。,BT06-14,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierContact,cor,Identifier_ Contact,identifierContact,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierContact
425,cor,5,A,,Contact Prefix,String,0..1,,"Prefix (e.g. Dr., Mr., Mrs.)",敬称,敬称(Dr.、Mr.、Mrs.など),CO11-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierContact.cor_ContactPrefix,cor,Identifier_ Contact,contactPrefix,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierContact/gl-cor:contactPrefix
426,cor,5,A,,Contact Last Name,String,0..1,,Last or family name,姓,姓,CO11-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierContact.cor_ContactLastName,cor,Identifier_ Contact,contactLastName,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierContact/gl-cor:contactLastName
427,cor,5,A,,Contact First Name,String,0..1,,First or given name,名,名、クリスチャンネーム,CO11-03,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierContact.cor_ContactFirstName,cor,Identifier_ Contact,contactFirstName,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierContact/gl-cor:contactFirstName
428,cor,5,A,,Contact Suffix,String,0..1,,"Suffix (e.g. MD, CPA, Jr.)",付加名称,付加名称(MD、CPA、Jr.など),CO11-04,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierContact.cor_ContactSuffix,cor,Identifier_ Contact,contactSuffix,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierContact/gl-cor:contactSuffix
429,cor,5,A,,Contact Attention Line,String,0..1,,Attention Line,アテンションライン,アテンションライン,CO11-05,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierContact.cor_ContactAttentionLine,cor,Identifier_ Contact,contactAttentionLine,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierContact/gl-cor:contactAttentionLine
430,cor,5,A,,Contact Position Role,String,0..1,,Position or role,地位/役職,地位や役職。,CO11-06,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierContact.cor_ContactPositionRole,cor,Identifier_ Contact,contactPositionRole,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierContact/gl-cor:contactPositionRole
431,cor,5,A,,Contact Contact Type,String,0..1,,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。,CO11-07,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierContact.cor_ContactContactType,cor,Identifier_ Contact,contactContactType,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierContact/gl-cor:contactContactType
432,cor,5,A,,Contact Location ID cross reference,String,0..1,,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,CO11-08,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierContact.cor_ContactLocationIDcrossreference,cor,Identifier_ Contact,contactLocationIdCrossReference,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierContact/gl-cor:contactLocationIdCrossReference
433,cor,5,A,,Contact Active,Boolean,0..1,,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",担当者有効性,担当者が有効か無効かを示すブール値。,CO11-09,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierContact.cor_ContactActive,cor,Identifier_ Contact,contactActive,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierContact/gl-cor:contactActive
434,bus,5,C,,Contact_ Phone,,0..*,,Contact Phone Number,【担当者電話番号】,担当者の電話番号。,CO11-10,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierContact.cor_ContactPhone,bus,Contact_ Phone,contactPhone,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierContact/gl-bus:contactPhone
435,bus,6,A,PK,Phone Number,String,0..1,,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,BU03-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierContact.cor_ContactPhone.bus_PhoneNumber,bus,Contact_ Phone,phoneNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierContact/gl-bus:contactPhone/gl-bus:phoneNumber
436,bus,6,A,,Phone Number Description,String,0..1,,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",BU03-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierContact.cor_ContactPhone.bus_PhoneNumberDescription,bus,Contact_ Phone,phoneNumberDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierContact/gl-bus:contactPhone/gl-bus:phoneNumberDescription
437,bus,5,C,,Contact_ Fax,,0..*,,Contact Fax Number Class,【担当者FAX番号】,担当者のFAX番号の構造体。,CO11-11,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierContact.cor_ContactFax,bus,Contact_ Fax,contactFax,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierContact/gl-bus:contactFax
438,bus,6,A,PK,Fax Number,String,0..1,,Fax Number,FAX番号,FAX番号。,BU08-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierContact.cor_ContactFax.bus_FaxNumber,bus,Contact_ Fax,faxNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierContact/gl-bus:contactFax/gl-bus:faxNumber
439,bus,6,A,,Fax Number Usage,String,0..1,,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),BU08-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierContact.cor_ContactFax.bus_FaxNumberUsage,bus,Contact_ Fax,faxNumberUsage,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierContact/gl-bus:contactFax/gl-bus:faxNumberUsage
440,bus,5,C,,Contact_ Email,,0..*,,Contact E-mail address class,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。,CO11-12,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierContact.cor_ContactEmail,bus,Contact_ Email,contactEmail,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierContact/gl-bus:contactEmail
441,bus,6,A,PK,Email Address,String,0..1,,Email Address,Eメールアドレス,Eメールアドレス。,BU13-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierContact.cor_ContactEmail.bus_EmailAddress,bus,Contact_ Email,emailAddress,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierContact/gl-bus:contactEmail/gl-bus:emailAddress
442,bus,6,A,,Email Address Usage,String,0..1,,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),BU13-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierContact.cor_ContactEmail.bus_EmailAddressUsage,bus,Contact_ Email,emailAddressUsage,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerIdentifierReference/gl-cor:identifierContact/gl-bus:contactEmail/gl-bus:emailAddressUsage
443,btx,3,C,,Header_ Tax,,0..*,,Class for holding tax related information,【税情報】,税関連の情報のタプル。,BT11-27,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax,btx,Header_ Tax,headerTax,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerTax
444,btx,4,A,,Tax Authority,String,0..1,,Name of the relevant tax authority,課税庁,関係する課税庁の名前。,BT08-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax.btx_TaxAuthority,btx,Header_ Tax,taxAuthority,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerTax/gl-btx:taxAuthority
445,btx,4,A,,Tax Table Code,String,0..1,,Tax table code used by the relevant tax authority,税率表コード,関係する課税庁で使用される税率表のコード。,BT08-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax.btx_TaxTableCode,btx,Header_ Tax,taxTableCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerTax/gl-btx:taxTableCode
446,btx,4,A,,Tax Description,String,0..1,,Description of tax authority,課税庁説明,課税庁の説明。,BT08-03,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax.btx_TaxDescription,btx,Header_ Tax,taxDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerTax/gl-btx:taxDescription
447,btx,4,A,,Amount of Taxes,Monetary,0..1,,Amount of taxes,税額,税額。,BT08-04,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax.btx_AmountofTaxes,btx,Header_ Tax,amountOfTaxes,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerTax/gl-btx:amountOfTaxes
448,btx,4,A,,Basis for Taxation,Monetary,0..1,,Basis for taxation,課税基準,課税基準。,BT08-05,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax.btx_BasisforTaxation,btx,Header_ Tax,basisForTaxation,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerTax/gl-btx:basisForTaxation
449,btx,4,A,,Tax Percentage Rate,Pure,0..1,,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,税率,"VAT(物品税)またはその他の税のパーセント比率。_x000D_
0から1.0の間の値。たとえば50%は0.5とあらわす。",BT08-06,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax.btx_TaxPercentageRate,btx,Header_ Tax,taxPercentageRate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerTax/gl-btx:taxPercentageRate
450,btx,4,A,,Tax Category,String,0..1,,A class or category of taxes,税区分,税のクラス又はカテゴリ。,BT08-07,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax.btx_TaxCategory,btx,Header_ Tax,taxCategory,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerTax/gl-btx:taxCategory
451,btx,4,A,,Tax Comment/Exemption Reason,String,0..1,,Additional text/code for exemption reasons or other comments.,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。,BT08-08,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax.btx_TaxCommentExemptionReason,btx,Header_ Tax,taxCommentExemptionReason,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerTax/gl-btx:taxCommentExemptionReason
452,btx,4,A,,Tax Amount in Foreign Currency,Monetary,0..1,,"If the tax is in a foreign currency, the amount of tax in that currency",外貨建税額,税が外貨建ての場合の、税額。,BT08-09,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax.btx_TaxAmountinForeignCurrency,btx,Header_ Tax,taxAmountInForeignCurrency,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerTax/gl-btx:taxAmountInForeignCurrency
453,btx,4,A,,Tax Foreign Currency,QName,0..1,,"If the tax is in a foreign currency, that currency",外貨建税額通貨,税が外貨建ての場合の、通貨。,BT08-10,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax.btx_TaxForeignCurrency,btx,Header_ Tax,taxForeignCurrency,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerTax/gl-btx:taxForeignCurrency
454,btx,4,A,,Tax Exchange Rate Date,Date Time,0..1,,"If the tax is in a foreign currency, the date or date and time of the exchange rate used",税額換算レート日付,税が外貨建ての場合の、換算レートの日付または日付/時刻。,BT08-11,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax.btx_TaxExchangeRateDate,btx,Header_ Tax,taxExchangeRateDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerTax/gl-btx:taxExchangeRateDate
455,btx,4,A,,Tax Exchange Rate,Pure,0..1,,"If the tax is in a foreign currency, the exchange rate used expressed as national currency divided by foreign currency",税額換算レート,税が外貨建ての場合の、換算レート。自国通貨を外貨で割った値。,BT08-12,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax.btx_TaxExchangeRate,btx,Header_ Tax,taxExchangeRate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerTax/gl-btx:taxExchangeRate
